feature,chi2_score,chi2_pvalue,rank_chi2
is_weekend,142.2457452829441,8.593064109637366e-33,1
is_morning_rush,112.58646178293716,2.65816614786001e-26,2
duration_minutes_log,57.00763645377106,4.341229081804742e-14,3
dayofweek_sin,51.224056124672835,8.240260938371136e-13,4
has_start_station,42.21744803027724,8.166812386070612e-11,5
has_end_station,39.88980900799234,2.6870150004450513e-10,6
avg_speed_kmh,24.816557209722095,6.30535293963601e-07,7
is_evening_rush,20.92965483406561,4.7646122576710305e-06,8
is_electric_bike,18.194995232961844,1.9940213598458337e-05,9
month_cos,12.682522767052678,0.0003690892538339885,10
hour_sin,11.099292906223276,0.0008636064053044437,11
month_sin,1.836221008104497,0.17539451481713356,12
haversine_distance_km,0.2932665099405567,0.5881348379028932,13
end_station_freq,0.24171873030144925,0.6229675038603756,14
start_station_freq,0.15775891432180764,0.6912282671524774,15
dayofweek_cos,0.09563780120863259,0.7571286090026571,16
hour_cos,0.0334210405259255,0.8549437874978725,17
