feature,rank_mi,rank_chi2,rank_rf,mean_rank,final_rank
duration_minutes_log,1,3,2,2.0,1
avg_speed_kmh,3,7,1,3.6666666666666665,2
haversine_distance_km,2,13,3,6.0,3
has_start_station,5,5,12,7.333333333333333,4
start_station_freq,4,15,5,8.0,5
end_station_freq,6,14,4,8.0,6
has_end_station,7,6,11,8.0,7
hour_sin,8,11,7,8.666666666666666,8
is_weekend,11,1,14,8.666666666666666,9
dayofweek_sin,13,4,10,9.0,10
is_electric_bike,10,9,13,10.666666666666666,11
hour_cos,9,17,6,10.666666666666666,12
month_cos,14,10,8,10.666666666666666,13
is_morning_rush,16,2,16,11.333333333333334,14
month_sin,17,12,9,12.666666666666666,15
is_evening_rush,15,8,17,13.333333333333334,16
dayofweek_cos,12,16,15,14.333333333333334,17
