feature,mutual_information,rank_mi
duration_minutes_log,0.026185922229220893,1
haversine_distance_km,0.023789707430999618,2
avg_speed_kmh,0.022252179806896866,3
start_station_freq,0.012401665514107041,4
has_start_station,0.011533116912624708,5
end_station_freq,0.01056769448029038,6
has_end_station,0.009404784656469323,7
hour_sin,0.006902731819325991,8
hour_cos,0.005088167963427814,9
is_electric_bike,0.004453550536301254,10
is_weekend,0.0037927741064387455,11
dayofweek_cos,0.00338706717490056,12
dayofweek_sin,0.002195566546265404,13
month_cos,0.0010672006998326822,14
is_evening_rush,0.0005726424283529763,15
is_morning_rush,0.0,16
month_sin,0.0,17
