feature,importance_mean,importance_std,rank
duration_minutes_log,0.021575708935259542,0.003904617876777709,1
avg_speed_kmh,0.020024077046549016,0.0029745292674793478,2
has_end_station,0.009470304975922984,0.002661010915100741,3
has_start_station,0.008467094703049804,0.003325550844747855,4
end_station_freq,0.004975922953451095,0.002318976236786446,5
is_electric_bike,0.004173354735152529,0.002108853095239856,6
is_morning_rush,0.0032102728731942644,0.001965882618606089,7
is_evening_rush,0.002140181915462852,0.0022966480504370973,8
start_station_freq,0.0017790262172285077,0.0021539734203578627,9
month_cos,0.0004414125200642549,0.0020095837380545807,10
dayofweek_sin,0.0003745318352060434,0.0025859916476392926,11
hour_sin,-0.00036115569823431113,0.0015878212678522281,12
hour_cos,-0.000989834135901513,0.0017967891503699268,13
month_sin,-0.0010700909577313622,0.0012576414417916828,14
is_weekend,-0.002474585339753832,0.0010862708044838184,15
haversine_distance_km,-0.003571428571428531,0.0014973508459277648,16
dayofweek_cos,-0.004213483146067376,0.0013319167070118296,17
